sku,GID,descriptionHtml,specs.width_mm,specs.length_mm,specs.height_mm,specs.weight_kg,specs.voltage,specs.wattage,specs.cooking_surface_mm,specs.energy_type,specs.construction,specs.usage_time,specs.temperature,specs.safety_features,specs.special_features,specs.accessories,specs.performance_rate,specs.service_warranty,specs.spareparts_warranty,specs.made_in,specs.certificates
ROL1-FC260,gid://shopify/Product/8646051070151,"<p>28 and 38 L ovens to cook or reheat croissants, pastries and ready made dishes (frozen fresh or pre-raised).</p><ul><li>Fast temperature rise: 270°C in 7 min.</li><li>Even cooking thanks to ventilation holes.</li><li>FC 380 TQ associates ventilated heat, Turbo Quartz®, ventilated pastry oven and ventilated salamander functions.</li></ul><p>Recommended for pre-raised deep-frozen baking products:</p><ul><li>18 raised frozen croissants: 180°C, 16 min</li><li>20 raised frozen buns: 220°C, 18 min</li><li>18 raised chocolate bread rolls: 200°C, 16 min</li></ul><p>Cleaning: stainless steel inside and removable holders.</p><p>Features:</p><ul><li>thermostat-commutator (0-270°C)</li><li>fan</li><li>2 or 3 grids</li><li>baking tray</li><li>double-glazed door</li></ul>",,,,,,,,,,,,,,,,,,,
ROL1-FC280,gid://shopify/Product/8646051135687,"<p>28 and 38 L ovens to cook or reheat croissants, pastries and ready made dishes (frozen fresh or pre-raised).</p>
<ul>
<li>Fast temperature rise: 270°C in 7 min.</li>
<li>Even cooking thanks to ventilation holes.</li>
<li>FC 380 TQ associates ventilated heat, Turbo Quartz®, ventilated pastry oven and ventilated salamander functions.</li>
</ul>
<p>Recommended for pre-raised deep-frozen baking products:</p>
<ul>
<li>18 raised frozen croissants: 180°C, 16 min,</li>
<li>20 raised frozen buns: 220°C, 18 min,</li>
<li>18 raised chocolate bread rolls: 200°C, 16 min.</li>
</ul>
<p>Cleaning: stainless steel inside and removable holders.</p>
<p>Features: thermostat-commutator (0-270°C), fan, 2 or 3 grids, baking tray, double-glazed door.</p>",460,550,355,20 kg,1.5 kW,230V,,Electric,Stainless steel,Continuous,270°C,Double glazing,Ventilated,2 grids,,1 Year,1 Year,France,"CE, UL/NSF"
ROL1-FC380TQ,gid://shopify/Product/8645501485255,"<p>28 and 38 L ovens to cook or reheat croissants, pastries and ready made dishes (frozen fresh or pre-raised).</p><ul><li>Fast temperature rise: 270°C in 7 min.</li><li>Even cooking thanks to ventilation holes.</li><li>FC 380 TQ associates ventilated heat, Turbo Quartz®, ventilated pastry oven and ventilated salamander functions.</li></ul><p>Recommended for pre-raised deep-frozen baking products:</p><ul><li>18 raised frozen croissants: 180°C, 16 min,</li><li>20 raised frozen buns: 220°C, 18 min,</li><li>18 raised chocolate bread rolls: 200°C, 16 min.</li></ul><p>Cleaning: stainless steel inside and removable holders.</p><p>Features: thermostat-commutator (0-270°C), fan, 2 or 3 grids, baking tray, double-glazed door.</p>",550,550,355,22 kg,2.6 kW,230V,,Electric,Stainless steel,Continuous,270°C,Double glazing,Turbo Quartz,3 grids,,1 Year,1 Year,France,"CE, UL/NSF"
ROL1-FC60,gid://shopify/Product/8645647892679,<p>• Fast temperature rising : 300°C in 10 min.</p><p>• Rapidity + power of convection = increasing cooking possibilities of every kind of dishes.</p><p>Cleaning:</p><ul><li>baking chamber in all stainless steel</li><li>removable grid holders</li><li>double-door easy to remove</li></ul><p>Features:</p><ul><li>thermostat 0-300°C</li><li>120 min timer with lock position for non-stop use</li><li>inside lighting</li><li>Supplied with 4 cooking grids 450 x 340 mm</li><li>no GN tray.</li></ul><p>Option: pastry tray.</p>,595,610,590,36 kg,3 kW,230V,,Electric,Stainless steel,Continuous,300°C,Double door,Ventilated,4 grids,,1 Year,1 Year,France,"CE, UL/NSF"
ROL1-FC60P,gid://shopify/Product/8646051168455,<p>Fast temperature rising: 300°C in 10 min.</p><p>Rapidity + power of convection = increasing cooking possibilities of every kind of dishes.</p><p>Cleaning:</p><ul><li>baking chamber in all stainless steel</li><li>removable grid holders</li><li>double-door easy to remove</li></ul><p>Features:</p><ul><li>thermostat 0-300°C</li><li>120 min timer with lock position for non-stop use</li><li>inside lighting</li><li>Supplied with 4 cooking grids 450 x 340 mm</li><li>no GN tray.</li></ul><p>Option: pastry tray.</p>,595,610,590,36 kg,3 kW,230V,,Electric,Stainless steel,Continuous,300°C,Double door,Water pump,4 grids,,1 Year,1 Year,France,"CE, UL/NSF"
ROL1-FC60TQ,gid://shopify/Product/8646051233991,<p>Fast temperature rising: 300°C in 10 min.</p><p>Rapidity + power of convection = increasing cooking possibilities of every kind of dishes.</p><p>Cleaning:</p><ul><li>baking chamber in all stainless steel</li><li>removable grid holders</li><li>double-door easy to remove</li></ul><p>Features:</p><ul><li>thermostat 0-300°C</li><li>120 min timer with lock position for non-stop use</li><li>inside lighting</li><li>Supplied with 4 cooking grids 450 x 340 mm</li><li>no GN tray.</li></ul><p>Option: pastry tray.</p>,595,610,590,38 kg,3 kW,230V,,Electric,Stainless steel,Continuous,300°C,Double door,Turbo Quartz,4 grids,,1 Year,1 Year,France,"CE, UL/NSF"
ROL1-FCV280,gid://shopify/Product/8645501550791,"<p>28 L compact vertical oven to cook or reheat croissants, pastries and ready-made dishes ( frozen fresh or preraised).</p><ul><li>Fast temperature rise: 270°C in 12 min.</li><li>Even cooking thanks to ventilation holes.</li></ul><p>Recommended for pre-raised deep-frozen baking products:</p><ul><li>raised frozen croissants : 180°C, 16 min</li><li>raised frozen buns : 220°C, 18 min</li><li>raised chocolate bread rolls : 200°C, 16 min.</li></ul><p>Cleaning:</p><ul><li>stainless steel inside and removable holders.</li></ul><p>Features:</p><ul><li>thermostat-commutator 0-270°C</li><li>fan</li><li>2 punched plates 255 x 310 mm with crumb tray</li><li>double-glazed door</li></ul>",370,535,495,20 kg,1.5 kW,230V,,Electric,Stainless steel,Continuous,270°C,Double glazing,Vertical design,2 plates,,1 Year,1 Year,France,"CE, UL/NSF"
ROL1-FD50,gid://shopify/Product/8645501583559,<p>Table top fryers 5 to 8 L with cold zone.</p><p>Reset of safety thermostat in the back in case of overheating or lack of oil.</p><p>FD 80 R / FD 80 DR: stamped and lightly tilted tank in one piece meant for easy oil draining. Safe draining with stainless-steel tap and lever system.</p><p>Fryers with double tank 2 x 5 L and 2 x 8 L with independent control and same specifications as single models.</p><p>Cleaning:</p><ul><li>removable control box and dishwasher-safe stainless-steel tank.</li></ul><p>Features:</p><ul><li>precise bulb thermostat 180°C</li><li>safety thermostat</li><li>microswitch</li><li>pilot light</li><li>basket with heat-resistant handle</li><li>stainless steel lid</li></ul>,215,425,320,5 kg,3.2 kW,230V,,Electric,Stainless steel,Continuous,180°C,Safety thermostat,Cold zone,Basket,,1 Year,1 Year,France,"CE, UL/NSF"
ROL1-FD50D,gid://shopify/Product/8645501616327,<p>Table top fryers 5 to 8 L with cold zone.</p><p>Reset of safety thermostat in the back in case of overheating or lack of oil.</p><p>FD 80 R / FD 80 DR: stamped and lightly tilted tank in one piece meant for easy oil draining. Safe draining with stainless-steel tap and lever system.</p><p>Fryers with double tank 2 x 5 L and 2 x 8 L with independent control and same specifications as single models.</p><p>Cleaning: removable control box and dishwasher-safe stainless-steel tank.</p><p>Features:</p><ul><li>precise bulb thermostat 180°C</li><li>safety thermostat</li><li>microswitch</li><li>pilot light</li><li>basket with heat-resistant handle</li><li>stainless steel lid</li></ul>,390,425,320,9 kg,2x3.2 kW,230V,,Electric,Stainless steel,Continuous,180°C,Safety thermostat,Double tank,2 Baskets,,1 Year,1 Year,France,"CE, UL/NSF"
ROL1-FD50I,gid://shopify/Product/8645877366983,<p>Table top fryers 5 to 8 L with cold zone.</p><p>Reset of safety thermostat in the back in case of overheating or lack of oil.</p><p>FD 80 R / FD 80 DR: stamped and lightly tilted tank in one piece meant for easy oil draining. Safe draining with stainless-steel tap and lever system.</p><p>Fryers with double tank 2 x 5 L and 2 x 8 L with independent control and same specifications as single models.</p><p>Cleaning:</p><ul><li>removable control box and dishwasher-safe stainless-steel tank.</li></ul><p>Features:</p><ul><li>precise bulb thermostat 180°C</li><li>safety thermostat</li><li>microswitch</li><li>pilot light</li><li>basket with heat-resistant handle</li><li>stainless steel lid</li></ul>,215,425,320,5 kg,3.2 kW,230V,,Electric,Stainless steel,Continuous,180°C,Safety thermostat,Cold zone,Basket,,1 Year,1 Year,France,"CE, UL/NSF"
ROL1-FD80,gid://shopify/Product/8645501649095,<p>Table top fryers 5 to 8 L with cold zone.</p><p>Reset of safety thermostat in the back in case of overheating or lack of oil.</p><p>FD 80 R / FD 80 DR: stamped and lightly tilted tank in one piece meant for easy oil draining. Safe draining with stainless-steel tap and lever system.</p><p>Fryers with double tank 2 x 5 L and 2 x 8 L with independent control and same specifications as single models.</p><p>Cleaning:</p><ul><li>removable control box and dishwasher-safe stainless-steel tank.</li></ul><p>Features:</p><ul><li>precise bulb thermostat 180°C</li><li>safety thermostat</li><li>microswitch</li><li>pilot light</li><li>basket with heat-resistant handle</li><li>stainless steel lid</li></ul>,280,425,320,7 kg,3.4 kW,230V,,Electric,Stainless steel,Continuous,180°C,Safety thermostat,Cold zone,Basket,,1 Year,1 Year,France,"CE, UL/NSF"
ROL1-FD80D,gid://shopify/Product/8645501681863,<p>Table top fryers 5 to 8 L with cold zone.</p><p>Reset of safety thermostat in the back in case of overheating or lack of oil.</p><p>FD 80 R / FD 80 DR: stamped and lightly tilted tank in one piece meant for easy oil draining. Safe draining with stainless-steel tap and lever system.</p><p>Fryers with double tank 2 x 5 L and 2 x 8 L with independent control and same specifications as single models.</p><p>Cleaning:</p><ul><li>removable control box and dishwasher-safe stainless-steel tank.</li></ul><p>Features:</p><ul><li>precise bulb thermostat 180°C</li><li>safety thermostat</li><li>microswitch</li><li>pilot light</li><li>basket with heat-resistant handle</li><li>stainless steel lid</li></ul>,540,425,320,12 kg,2x3.4 kW,230V,,Electric,Stainless steel,Continuous,180°C,Safety thermostat,Double tank,2 Baskets,,1 Year,1 Year,France,"CE, UL/NSF"
ROL1-FD80DR,gid://shopify/Product/8645501714631,<p>Table top fryers 5 to 8 L with cold zone.</p><p>Reset of safety thermostat in the back in case of overheating or lack of oil.</p><p>FD 80 R / FD 80 DR: stamped and lightly tilted tank in one piece meant for easy oil draining. Safe draining with stainless-steel tap and lever system.</p><p>Fryers with double tank 2 x 5 L and 2 x 8 L with independent control and same specifications as single models.</p><p>Cleaning:</p><ul><li>removable control box and dishwasher-safe stainless-steel tank.</li></ul><p>Features:</p><ul><li>precise bulb thermostat 180°C</li><li>safety thermostat</li><li>microswitch</li><li>pilot light</li><li>basket with heat-resistant handle</li><li>stainless steel lid</li></ul>,590,450,370,15 kg,2x3.4 kW,230V,,Electric,Stainless steel,Continuous,180°C,Safety thermostat,With drain tap,2 Baskets,,1 Year,1 Year,France,"CE, UL/NSF"
ROL1-FD80R,gid://shopify/Product/8645877399751,<p>Table top fryers 5 to 8 L with cold zone.</p><p>Reset of safety thermostat in the back in case of overheating or lack of oil.</p><p>FD 80 R / FD 80 DR: stamped and lightly tilted tank in one piece meant for easy oil draining. Safe draining with stainless-steel tap and lever system.</p><p>Fryers with double tank 2 x 5 L and 2 x 8 L with independent control and same specifications as single models.</p><p>Cleaning:</p><ul><li>removable control box and dishwasher-safe stainless-steel tank.</li></ul><p>Features:</p><ul><li>precise bulb thermostat 180°C</li><li>safety thermostat</li><li>microswitch</li><li>pilot light</li><li>basket with heat-resistant handle</li><li>stainless steel lid</li></ul>,305,450,360,8 kg,3.4 kW,230V,,Electric,Stainless steel,Continuous,180°C,Safety thermostat,With drain tap,Basket,,1 Year,1 Year,France,"CE, UL/NSF"
ROL1-FM2,gid://shopify/Product/8645501747399,"<p>Electric smoker: cold smoke thanks to the slow burning of beech wood, then cooled down.</p><p>Automatic ignition: heating element and timer.</p><p>100% natural beech wood.</p><p>FM4: smoker for a double use :</p><ul><li>on 1 level to smoke a whole ham on the bone</li><li>on 2 levels to smoke in quantity fish, meat, delicatessen etc.</li></ul>",715,415,230,16 kg,0.25 kW,230V,400x600,Electric,Stainless steel,Timer,Variable,Timer control,Cold smoking,,,1 Year,1 Year,France,"CE, UL/NSF"
ROL1-FM3,gid://shopify/Product/8645501780167,"<p>Electric smoker: cold smoke thanks to the slow burning of beech wood, then cooled down.</p><p>Automatic ignition: heating element and timer.</p><p>100% natural beech wood.</p><p>FM4: smoker for a double use :</p><ul><li>on 1 level to smoke a whole ham on the bone</li><li>on 2 levels to smoke in quantity fish, meat, delicatessen etc.</li></ul>",100,x41,200,18 kg,0.25 kW,230V,400x800,Electric,Stainless steel,Timer,Variable,Timer control,Cold smoking,,,1 Year,1 Year,France,"CE, UL/NSF"
ROL1-FM4,gid://shopify/Product/8645501812935,"<p>Electric smoker: cold smoke thanks to the slow burning of beech wood, then cooled down.</p><p>Automatic ignition: heating element and timer.</p><p>100% natural beech wood.</p><p>FM4: smoker for a double use :</p><ul><li>on 1 level to smoke a whole ham on the bone</li><li>on 2 levels to smoke in quantity fish, meat, delicatessen etc.</li></ul>",715,415,360,21 kg,0.25 kW,230V,,Electric,Stainless steel,Timer,Variable,Timer control,Dual level smoking,,,1 Year,1 Year,France,"CE, UL/NSF"
ROL1-GED10,gid://shopify/Product/8645501845703,"<p>Even cooking on cast-iron plates with high inertia.</p><p>Meant for deep-frozen, precooked frozen or fresh home-made batter.</p><p>Cleaning of plates and hinges with wire brush. Removable surrounding tray for extra dough (patented).</p><p>Features:</p><ul><li>commutator thermostat (0-300°C)</li><li>cast-iron plates</li><li>robust stainless steel handle</li><li>Incoloy heating elements</li><li>timer</li><li>pilot lights</li><li>fork for waffle (except GES 40).</li></ul>",585,510,310,38 kg,3.2 kW,230V,100x170x22,Electric,Cast iron,Continuous,300°C,Thermostat,Double waffle,Cleaning brush,,1 Year,1 Year,France,"CE, UL/NSF"
ROL1-GED20,gid://shopify/Product/8645504729287,"<p>Even cooking on cast-iron plates with high inertia.</p><p>Meant for deep-frozen, precooked frozen or fresh home-made batter.</p><p>Cleaning of plates and hinges with wire brush. Removable surrounding tray for extra dough (patented).</p><p>Features:</p><ul><li>commutator thermostat (0-300°C)</li><li>cast-iron plates</li><li>robust stainless steel handle</li><li>Incoloy heating elements</li><li>timer</li><li>pilot lights</li><li>fork for waffle (except GES 40).</li></ul>",585,510,310,38 kg,3.2 kW,230V,100x180x26,Electric,Cast iron,Continuous,300°C,Thermostat,Double waffle,Cleaning brush,,1 Year,1 Year,France,"CE, UL/NSF"
ROL1-GED75,gid://shopify/Product/8645501878471,"<div>• Even cooking on cast-iron plates with high inertia.<br />• Meant for deep-frozen, precooked frozen or fresh home-made batter.<br />• Cleaning of plates and hinges with wire brush. Removable surrounding tray for extra dough (patented).<br />Features:<br />- commutator thermostat (0-300°C)<br />- cast-iron plates<br />- robust stainless steel handle<br />- Incoloy heating elements<br />- timer<br />- pilot lights<br />- fork for waffle (except GES 40).</div>",585,510,310,38 kg,3.2 kW,230V,Ø185,Electric,Cast iron,Continuous,300°C,Thermostat,Double round,Fork,,1 Year,1 Year,France,"CE, UL/NSF"
ROL1-GED75-B,gid://shopify/Product/8645654380743,"<p>Even cooking on cast-iron plates with high inertia.</p><p>Meant for deep-frozen, precooked frozen or fresh home-made batter.</p><p>Cleaning of plates and hinges with wire brush. Removable surrounding tray for extra dough (patented).</p><p>Features:</p><ul><li>commutator thermostat (0-300°C)</li><li>cast-iron plates</li><li>robust stainless steel handle</li><li>Incoloy heating elements</li><li>timer</li><li>pilot lights</li><li>fork for waffle (except GES 40)</li></ul>",585,510,310,38 kg,3.2 kW,230V,Ø185,Electric,Cast iron,Continuous,300°C,Thermostat,Double round,Fork,,1 Year,1 Year,France,"CE, UL/NSF"
ROL1-GES10,gid://shopify/Product/8645507055815,"<p>Even cooking on cast-iron plates with high inertia.</p><p>Meant for deep-frozen, precooked frozen or fresh home-made batter.</p><p>Cleaning of plates and hinges with wire brush. Removable surrounding tray for extra dough (patented).</p><p>Features:</p><ul><li>commutator thermostat (0-300°C)</li><li>cast-iron plates</li><li>robust stainless steel handle</li><li>Incoloy heating elements</li><li>timer</li><li>pilot lights</li><li>fork for waffle (except GES 40)</li></ul>",305,510,310,22 kg,1.6 kW,230V,100x170x22,Electric,Cast iron,Continuous,300°C,Thermostat,Single waffle,Cleaning brush,40 waffles/h,1 Year,1 Year,France,"CE, UL/NSF"
ROL1-GES20,gid://shopify/Product/8645507088583,"<p>Even cooking on cast-iron plates with high inertia.</p><p>Meant for deep-frozen, precooked frozen or fresh home-made batter.</p><p>Cleaning of plates and hinges with wire brush. Removable surrounding tray for extra dough (patented).</p><p>Features:</p><ul><li>commutator thermostat (0-300°C)</li><li>cast-iron plates</li><li>robust stainless steel handle</li><li>Incoloy heating elements</li><li>timer</li><li>pilot lights</li><li>fork for waffle (except GES 40).</li></ul>",305,510,310,22 kg,1.6 kW,230V,100x180x26,Electric,Cast iron,Continuous,300°C,Thermostat,Single waffle,Cleaning brush,40 waffles/h,1 Year,1 Year,France,"CE, UL/NSF"
ROL1-GES23,gid://shopify/Product/8645501944007,"<p>The turn-key waffle solution refund in a few weeks: electric waffle with 4 imprints in cast-iron plates for waffles on stick, 10 kg of waffle mix, namely 330 waffles on sticks, 500 sticks, display for waffles on sticks P08002Z03.</p><p>Even cooking on cast-iron plates with high inertia.</p><p>96 waffles/h! 4 golden waffles on sticks in 2’30 min!</p><p>Cleaning of plates and hinges with wire brush. Removable surrounding tray for extra dough (patented).</p><p>Features:</p><ul><li>commutator thermostat (0-300°C)</li><li>cast-iron plates</li><li>robust stainless steel handle</li><li>Incoloy heating elements</li><li>timer</li><li>pilot lights</li><li>Mix and accessories sold separately.</li></ul>",305,510,310,22 kg,1.6 kW,230V,230x60x30,Electric,Cast iron,Continuous,300°C,Thermostat,Stick waffle,Display stand,96 waffles/h,1 Year,1 Year,France,"CE, UL/NSF"
ROL1-GES40,gid://shopify/Product/8645501976775,"<p>Even cooking on cast-iron plates with high inertia.</p><p>Meant for deep-frozen, precooked frozen or fresh home-made batter.</p><p>Cleaning of plates and hinges with wire brush. Removable surrounding tray for extra dough (patented).</p><p>Features:</p><ul><li>commutator thermostat (0-300°C)</li><li>cast-iron plates</li><li>robust stainless steel handle</li><li>Incoloy heating elements</li><li>timer</li><li>pilot lights</li><li>fork for waffle (except GES 40).</li></ul>",305,510,310,22 kg,1.6 kW,230V,250x250x40,Electric,Cast iron,Continuous,300°C,Thermostat,Thin waffle,,160 waffles/h,1 Year,1 Year,France,"CE, UL/NSF"
ROL1-GES70,gid://shopify/Product/8645502009543,"<p>Even cooking on cast-iron plates with high inertia.</p><p>Meant for deep-frozen, precooked frozen or fresh home-made batter.</p><p>Cleaning of plates and hinges with wire brush. Removable surrounding tray for extra dough (patented). </p><p>Features:</p><ul><li>commutator thermostat (0-300°C)</li><li>cast-iron plates</li><li>robust stainless steel handle</li><li>Incoloy heating elements</li><li>timer</li><li>pilot lights</li><li>fork for waffle (except GES 40).</li></ul>",,,,,,,,,,,,,,,,,,,
ROL1-GES75,gid://shopify/Product/8645502042311,"<p>Even cooking on cast-iron plates with high inertia.</p><p>Meant for deep-frozen, precooked frozen or fresh home-made batter.</p><p>Cleaning of plates and hinges with wire brush. Removable surrounding tray for extra dough (patented). </p><p>Features:</p><ul><li>commutator thermostat (0-300°C)</li><li>cast-iron plates</li><li>robust stainless steel handle</li><li>Incoloy heating elements</li><li>timer</li><li>pilot lights</li><li>fork for waffle (except GES 40).</li></ul>",305,510,310,22 kg,1.6 kW,230V,Ø185,Electric,Cast iron,Continuous,300°C,Thermostat,Round waffle,Fork,,1 Year,1 Year,France,"CE, UL/NSF"
ROL1-GES80,gid://shopify/Product/8646051266759,"<p>The turn-key waffle solution refund in a few weeks: electric waffle with 4 imprints in cast-iron plates for waffles on stick, 10 kg of waffle mix, namely 330 waffles on sticks, 500 sticks, display for waffles on sticks P08002Z03.</p><p>Even cooking on cast-iron plates with high inertia.</p><p>96 waffles/h! 4 golden waffles on sticks in 2’30 min!</p><p>Cleaning of plates and hinges with wire brush. Removable surrounding tray for extra dough (patented).</p><p>Features:</p><ul><li>commutator thermostat (0-300°C)</li><li>cast-iron plates</li><li>robust stainless steel handle</li><li>Incoloy heating elements</li><li>timer</li><li>pilot lights</li><li>Mix and accessories sold separately.</li></ul>",305,510,310,22 kg,1.6 kW,230V,155x40x40,Electric,Cast iron,Continuous,300°C,Thermostat,Stick waffle,Display stand,96 waffles/h,1 Year,1 Year,France,"CE, UL/NSF"
ROL1-GES80-B,gid://shopify/Product/8646051332295,"<p>The turn-key waffle solution refund in a few weeks: electric waffle with 4 imprints in cast-iron plates for waffles on stick, 10 kg of waffle mix, namely 330 waffles on sticks, 500 sticks, display for waffles on sticks P08002Z03.</p><p>Even cooking on cast-iron plates with high inertia.</p><p>96 waffles/h! 4 golden waffles on sticks in 2’30 min!</p><p>Cleaning of plates and hinges with wire brush. Removable surrounding tray for extra dough (patented).</p><p>Features:</p><ul><li>commutator thermostat (0-300°C)</li><li>cast-iron plates</li><li>robust stainless steel handle</li><li>Incoloy heating elements</li><li>timer</li><li>pilot lights</li><li>Mix and accessories sold separately.</li></ul>",305,510,310,22 kg,1.6 kW,230V,155x40x40,Electric,Cast iron,Continuous,300°C,Thermostat,Stick waffle,Display stand,96 waffles/h,1 Year,1 Year,France,"CE, UL/NSF"
ROL1-GR40E,gid://shopify/Product/8645502107847,<p>Modular gyros / kebab grills.</p><ul><li>Even cooking according to the volume of the meat: movable and adjustable back and heating zones according to the carrot-shaped piece of meat.</li><li>Independent control of heating zones.</li><li>Fully hermetic bottom support: motor on ball-bearings (does not bear weight of meat and user’s strong handling) and protected from any infiltration of grease and juice.</li></ul><p>Cleaning: wide stamped juice collector and removable juice drawer.</p><p>Electric models:</p><ul><li>3 to 5 Incoloy heating elements</li><li>half/full power regulation</li><li>firestones to store heat.</li></ul><p>Gas models:</p><ul><li>2 to 4 infrared burners with safety thermocouple</li><li>regulation knob with slow position</li><li>Supplied in LPG with a set of NG injectors</li></ul>,580,660,690,27 kg,3.6 kW,230V,,Electric,Stainless steel,Continuous,Variable,Thermostat,Adjustable heating,Multiple accessories,,1 Year,1 Year,France,"CE, UL/NSF"
ROL1-GR40G,gid://shopify/Product/8645502173383,<p>Modular gyros / kebab grills.</p><ul><li>Even cooking according to the volume of the meat: movable and adjustable back and heating zones according to the carrot-shaped piece of meat.</li><li>Independent control of heating zones.</li><li>Fully hermetic bottom support: motor on ball-bearings (does not bear weight of meat and user’s strong handling) and protected from any infiltration of grease and juice.</li></ul><p>Cleaning: wide stamped juice collector and removable juice drawer.</p><p>Electric models:</p><ul><li>3 to 5 Incoloy heating elements</li><li>half/full power regulation</li><li>firestones to store heat.</li></ul><p>Gas models:</p><ul><li>2 to 4 infrared burners with safety thermocouple</li><li>regulation knob with slow position</li><li>Supplied in LPG with a set of NG injectors</li></ul>,580,660,690,28 kg,,,,Gas,Stainless steel,Continuous,Variable,Thermocouple,Infrared ceramic,Multiple accessories,,1 Year,1 Year,France,"CE, UL/NSF"
ROL1-GR60E,gid://shopify/Product/8645502206151,<p>Modular gyros / kebab grills.</p><ul><li>Even cooking according to the volume of the meat: movable and adjustable back and heating zones according to the carrot-shaped piece of meat.</li><li>Independent control of heating zones.</li><li>Fully hermetic bottom support: motor on ball-bearings (does not bear weight of meat and user’s strong handling) and protected from any infiltration of grease and juice.</li></ul><p>Cleaning: wide stamped juice collector and removable juice drawer.</p><p>Electric models:</p><ul><li>3 to 5 Incoloy heating elements</li><li>half/full power regulation</li><li>firestones to store heat.</li></ul><p>Gas models:</p><ul><li>2 to 4 infrared burners with safety thermocouple</li><li>regulation knob with slow position</li><li>Supplied in LPG with a set of NG injectors</li></ul>,580,660,860,31 kg,5.8 kW,380V,,Electric,Stainless steel,Continuous,Variable,Thermostat,Adjustable heating,Multiple accessories,,1 Year,1 Year,France,"CE, UL/NSF"
ROL1-GR60G,gid://shopify/Product/8645502238919,<p>Modular gyros / kebab grills.</p><ul><li>Even cooking according to the volume of the meat: movable and adjustable back and heating zones according to the carrot-shaped piece of meat.</li><li>Independent control of heating zones.</li><li>Fully hermetic bottom support: motor on ball-bearings (does not bear weight of meat and user’s strong handling) and protected from any infiltration of grease and juice.</li></ul><p>Cleaning: wide stamped juice collector and removable juice drawer.</p><p>Electric models:</p><ul><li>3 to 5 Incoloy heating elements</li><li>half/full power regulation</li><li>firestones to store heat.</li></ul><p>Gas models:</p><ul><li>2 to 4 infrared burners with safety thermocouple</li><li>regulation knob with slow position</li><li>Supplied in LPG with a set of NG injectors</li></ul>,580,660,860,32 kg,,,,Gas,Stainless steel,Continuous,Variable,Thermocouple,Infrared ceramic,Multiple accessories,,1 Year,1 Year,France,"CE, UL/NSF"
ROL1-GR80E,gid://shopify/Product/8645502271687,<p>Modular gyros / kebab grills.</p><ul><li>Even cooking according to the volume of the meat: movable and adjustable back and heating zones according to the carrot-shaped piece of meat.</li><li>Independent control of heating zones.</li><li>Fully hermetic bottom support: motor on ball-bearings (does not bear weight of meat and user’s strong handling) and protected from any infiltration of grease and juice.</li></ul><p>Cleaning: wide stamped juice collector and removable juice drawer.</p><p>Electric models:</p><ul><li>3 to 5 Incoloy heating elements</li><li>half/full power regulation</li><li>firestones to store heat.</li></ul><p>Gas models:</p><ul><li>2 to 4 infrared burners with safety thermocouple</li><li>regulation knob with slow position</li><li>Supplied in LPG with a set of NG injectors</li></ul>,580,660,35,35 kg,7.2 kW,380V,,Electric,Stainless steel,Continuous,Variable,Thermostat,Adjustable heating,Multiple accessories,,1 Year,1 Year,France,"CE, UL/NSF"
ROL1-MAJESTIC-FT,gid://shopify/Product/8645641633991,"<p>Double contact-grills for fast-foods and high output chains.</p><ul><li>Grilling in high quantities and alternate cooking between both plates.</li><li>Same characteristics as Savoye and Panini contact-grills, with independent controls.</li></ul><p>Options:</p><ul><li>Electronic timer with 3 independent cooking times (for PANINI and DOUBLE PANINI).</li><li>Auto regulation system of the height of cooking.</li><li>Individual plates available in grooved or flat versions for wraps, blinis, Swedish bread, omelettes...</li></ul>",560,460,280,36 kg,4 kW,380V,535x240,Electric,Cast iron,Continuous,300°C,Thermostat,Extra large,Scraper,192 steaks/h,1 Year,1 Year,France,"CE, UL/NSF"
ROL1-MAJESTIC-L,gid://shopify/Product/8645502304455,"<p>Double contact-grills for fast-foods and high output chains.</p><ul><li>Grilling in high quantities and alternate cooking between both plates.</li><li>Same characteristics as Savoye and Panini contact-grills, with independent controls.</li></ul><p>Options:</p><ul><li>Electronic timer with 3 independent cooking times (for PANINI and DOUBLE PANINI).</li><li>Auto regulation system of the height of cooking.</li><li>Individual plates available in grooved or flat versions for wraps, blinis, Swedish bread, omelettes...</li></ul>",560,460,280,36 kg,4 kW,380V,535x240,Electric,Cast iron,Continuous,300°C,Thermostat,Smooth plate,Scraper,192 steaks/h,1 Year,1 Year,France,"CE, UL/NSF"
ROL1-MAJESTIC-M,gid://shopify/Product/8645506924743,"<p>Double contact-grills for fast-foods and high output chains.</p><ul><li>Grilling in high quantities and alternate cooking between both plates.</li><li>Same characteristics as Savoye and Panini contact-grills, with independent controls.</li></ul><p>Options:</p><ul><li>Electronic timer with 3 independent cooking times (for PANINI and DOUBLE PANINI).</li><li>Auto regulation system of the height of cooking.</li><li>Individual plates available in grooved or flat versions for wraps, blinis, Swedish bread, omelettes...</li></ul>",560,460,280,36 kg,4 kW,380V,535x240,Electric,Cast iron,Continuous,300°C,Thermostat,Mixed plate,Scraper,192 steaks/h,1 Year,1 Year,France,"CE, UL/NSF"
